return_id,order_id,product_id,return_date,return_reason,refund_amount
R00452,O010489,P0005,2025-08-16,Size/Specification,781.53
R00453,O010490,P0121,2023-10-19,Size/Specification,2945.74
R00454,O010510,P0013,2023-10-24,Size/Specification,4582.67
R00455,O010522,P0077,2025-02-13,Customer Changed Mind,3369.83
R00456,O010545,P0114,2023-03-29,Customer Changed Mind,5675.09
R00457,O010573,P0105,2024-11-10,Damaged,12053.4
R00458,O010626,P0108,2024-06-25,Quality Issue,15082.03
R00459,O010637,P0026,2025-08-08,Late Delivery,365.86
R00460,O010664,P0007,2025-12-06,Damaged,26941.3
R00461,O010665,P0025,2024-03-29,Damaged,36899.07
R00462,O010672,P0107,2023-12-18,Wrong Item,22531.61
R00463,O010681,P0060,2025-12-14,Size/Specification,19148.75
R00464,O010707,P0011,2025-03-08,Damaged,25015.85
R00465,O010726,P0072,2026-01-07,Late Delivery,1038.34
R00466,O010756,P0026,2023-02-04,Size/Specification,428.72
R00467,O010761,P0084,2025-05-14,Size/Specification,16927.1
R00468,O010782,P0037,2025-10-04,Customer Changed Mind,9069.42
R00469,O010784,P0032,2023-06-23,Quality Issue,1726.71
R00470,O010830,P0068,2025-06-19,Quality Issue,5868.69
R00471,O010831,P0030,2025-11-11,Size/Specification,35260.51
R00472,O010868,P0117,2023-08-30,Wrong Item,5878.61
R00473,O010896,P0072,2023-05-07,Damaged,319.93
R00474,O010947,P0049,2025-03-14,Customer Changed Mind,3822.4
R00475,O010957,P0065,2024-10-27,Size/Specification,705.6
R00476,O010958,P0096,2024-01-25,Customer Changed Mind,246.6
R00477,O010992,P0007,2023-08-09,Quality Issue,20755.09
R00478,O011007,P0086,2023-08-11,Size/Specification,17564.59
R00479,O011044,P0034,2025-06-16,Damaged,20311.95
R00480,O011060,P0090,2024-04-21,Size/Specification,5496.13
R00481,O011094,P0061,2024-08-27,Wrong Item,4467.5
R00482,O011109,P0110,2024-05-19,Wrong Item,7996.15
R00483,O011119,P0008,2024-01-28,Quality Issue,14217.1
R00484,O011137,P0044,2024-11-11,Late Delivery,28211.3
R00485,O011139,P0059,2025-11-02,Wrong Item,1526.91
R00486,O011224,P0010,2023-11-13,Quality Issue,17978.03
R00487,O011234,P0121,2025-01-08,Late Delivery,6427.89
R00488,O011235,P0096,2025-12-14,Damaged,1453.08
R00489,O011239,P0046,2023-03-03,Quality Issue,4730.17
R00490,O011279,P0010,2023-06-25,Wrong Item,4858.39
R00491,O011293,P0053,2024-09-06,Wrong Item,15600.31
R00492,O011332,P0068,2024-09-27,Quality Issue,6412.18
R00493,O011344,P0085,2024-01-18,Size/Specification,2861.8
R00494,O011400,P0011,2026-01-21,Wrong Item,27830.74
R00495,O011483,P0001,2023-08-28,Size/Specification,21103.97
R00496,O011516,P0009,2024-01-08,Size/Specification,23272.84
R00497,O011535,P0004,2023-09-09,Customer Changed Mind,2490.34
R00498,O011554,P0050,2025-09-05,Damaged,5641.44
R00499,O011561,P0001,2024-09-22,Customer Changed Mind,8529.77
R00500,O011578,P0065,2023-02-15,Damaged,235.2
R00501,O011608,P0089,2025-01-12,Damaged,8430.97
R00502,O011615,P0119,2023-06-10,Wrong Item,19362.69
R00503,O011660,P0068,2025-05-18,Damaged,5827.45
R00504,O011696,P0012,2025-05-08,Damaged,3841.79
R00505,O011713,P0125,2024-08-26,Customer Changed Mind,26997.85
R00506,O011731,P0083,2023-07-24,Size/Specification,11145.54
R00507,O011749,P0041,2023-02-17,Quality Issue,56053.85
R00508,O011839,P0042,2023-10-07,Late Delivery,23014.51
R00509,O011889,P0130,2025-04-30,Wrong Item,1386.68
R00510,O011903,P0088,2025-07-12,Customer Changed Mind,37338.64
R00511,O011941,P0018,2025-01-08,Late Delivery,487.02
R00512,O011955,P0013,2024-07-10,Wrong Item,4568.94
